Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	168,10,94.04,96.42,92.36,91.78,95.15,13.42,17.92,46.42,5.27,16.97,Green Energy Cleared,23.1861578586289
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,100,	168,10,92.79,94.45,93.02,93.95,96.46,13.38,17.88,46.54,5.26,16.94,Green Energy Cleared,23.1408849895833
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,1000,	168,10,90.68,95.37,92.44,95.33,96.53,13.37,17.89,46.52,5.27,16.95,Green Energy Cleared,23.16024625055495
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,5000,	168,10,93.42,95.00,90.87,95.15,96.06,13.36,17.86,46.59,5.26,16.93,Green Energy Cleared,23.12009277585971
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10000,	168,10,94.02,94.12,90.86,96.31,95.93,13.34,17.85,46.65,5.25,16.91,Green Energy Cleared,23.107716357381484
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,15000,	168,10,93.65,93.45,91.30,96.59,95.26,13.31,17.88,46.62,5.26,16.93,Green Energy Cleared,23.143587417629526
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,25000,	168,10,92.81,93.62,91.94,97.42,95.12,13.37,17.88,46.55,5.26,16.93,Green Energy Cleared,23.13731484548764
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	168,10,126.70,129.10,122.65,45.83,127.72,13.37,17.88,46.56,5.26,16.93,Green Energy Cleared,23.133012492165896
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,100,	168,10,126.85,125.01,123.45,47.85,129.04,13.38,17.87,46.55,5.26,16.93,Green Energy Cleared,23.137154292595113
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,1000,	168,10,125.37,126.80,122.01,47.04,127.33,13.41,17.90,46.47,5.26,16.95,Green Energy Cleared,23.16072228537945
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,5000,	168,10,122.81,125.13,121.05,48.31,127.92,13.37,17.88,46.55,5.27,16.93,Green Energy Cleared,23.15372137217439
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	168,10,127.05,127.25,123.64,45.96,127.63,13.40,17.89,46.50,5.26,16.94,Green Energy Cleared,23.151696156293028
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	1,0,0.00,133.33,120.00,20.00,133.33,22.18,20.12,33.37,5.40,18.93,Green Energy Cleared,25.515991686625807
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	1,0,100.00,100.00,50.00,94.34,90.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,100,	1,0,64.91,100.00,60.00,100.00,100.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,1000,	1,0,0.00,100.00,90.00,100.00,100.00,17.53,15.90,47.34,4.26,14.96,Green Energy Cleared,20.168328758291057
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,5000,	1,0,0.00,100.00,90.00,100.00,100.00,17.53,15.90,47.34,4.26,14.96,Green Energy Cleared,20.168328758291057
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10000,	1,0,100.00,100.00,50.00,94.34,90.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,15000,	1,0,100.00,94.91,40.00,100.00,90.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,25000,	1,0,100.00,100.00,50.00,90.59,100.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	168,10,94.74,94.90,93.09,92.66,97.07,13.39,17.87,46.53,5.26,16.94,Green Energy Cleared,23.13288546776716
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,100,	168,10,94.81,92.08,92.67,94.24,97.30,13.41,17.87,46.54,5.25,16.93,Green Energy Cleared,23.12041484566148
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,1000,	168,10,92.55,93.07,92.60,95.03,95.88,13.30,17.84,46.68,5.26,16.93,Green Energy Cleared,23.098389052346135
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,5000,	168,10,94.61,91.85,91.57,95.26,96.57,13.35,17.88,46.59,5.26,16.93,Green Energy Cleared,23.131699462168974
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10000,	168,10,92.10,91.92,90.93,96.45,95.17,13.22,17.82,46.77,5.26,16.93,Green Energy Cleared,23.082487564191354
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,15000,	168,10,90.92,92.58,90.94,96.56,96.19,13.30,17.84,46.69,5.25,16.92,Green Energy Cleared,23.091909455091194
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,25000,	168,10,94.28,90.60,89.67,96.09,95.78,13.24,17.83,46.72,5.27,16.95,Green Energy Cleared,23.094252789756865
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	168,10,94.88,95.01,92.34,92.39,94.99,13.41,17.88,46.52,5.26,16.93,Green Energy Cleared,23.13476841777652
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,100,	168,10,93.72,95.04,93.19,92.11,95.45,13.39,17.86,46.58,5.26,16.91,Green Energy Cleared,23.115451927248266
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,1000,	168,10,94.20,94.13,91.88,93.69,95.87,13.40,17.89,46.51,5.26,16.94,Green Energy Cleared,23.14659710134051
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,5000,	168,10,93.58,95.09,91.67,95.42,95.76,13.39,17.85,46.61,5.26,16.90,Green Energy Cleared,23.107502997457534
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10000,	168,10,95.47,92.38,91.87,96.89,95.78,13.39,17.86,46.59,5.26,16.90,Green Energy Cleared,23.113928043884954
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,15000,	168,10,94.42,93.22,91.30,96.70,95.47,13.40,17.87,46.54,5.27,16.92,Green Energy Cleared,23.13745382954835
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,25000,	168,10,94.62,92.89,92.27,97.00,95.78,13.39,17.86,46.57,5.26,16.91,Green Energy Cleared,23.123503767254935
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	1,0,100.00,100.00,90.00,60.00,0.00,20.37,18.48,38.82,4.95,17.38,Green Energy Cleared,23.43033671397987
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,100,	1,0,58.37,100.00,70.00,120.00,120.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,1000,	1,0,0.00,100.00,90.00,120.00,0.00,28.64,25.97,13.99,6.97,24.44,Green Energy Cleared,32.93995992796681
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,5000,	1,0,88.37,100.00,60.00,120.00,100.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10000,	1,0,100.00,100.00,52.58,100.00,100.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,15000,	1,0,100.00,100.00,53.63,0.00,120.00,16.50,14.97,50.44,4.01,14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,25000,	1,0,0.00,100.00,90.00,0.00,120.00,19.89,18.04,40.27,4.84,16.97,Green Energy Cleared,22.873418693613626
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10,	1,0,0.00,100.00,90.00,60.00,100.00,-20.37,-18.48,-38.82,-4.95,-17.38,Green Energy Cleared,23.43033671397987
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,100,	1,0,93.63,100.00,80.00,0.00,100.00,-16.50,-14.97,-50.44,-4.01,-14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,1000,	1,0,100.00,100.00,48.37,120.00,100.00,-16.50,-14.97,-50.44,-4.01,-14.08,Green Energy Cleared,18.978117931578094
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,5000,	1,0,100.00,100.00,90.00,120.00,0.00,-19.55,-17.74,-41.27,-4.76,-16.68,Green Energy Cleared,22.491558615256135
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,10000,	1,0,0.00,100.00,90.00,0.00,0.00,-32.45,-29.43,-2.55,-7.89,-27.68,Green Energy Cleared,37.319788394843286
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,15000,	1,0,0.00,100.00,90.00,100.00,120.00,-18.62,-16.89,-44.07,-4.53,-15.89,Green Energy Cleared,21.418829269536445
Seed, CaseStudy, MCTSimulations, Auctions,	HourAhead,ZI,ZIP,SPOT,MCTSAgent,varMCTSAgent10000,Producer0,Producer1(RES),Producer2,Producer3(RES),Producer4,
1,1,25000,	1,0,100.00,100.00,50.00,120.00,98.37,-16.50,-14.97,-50.44,-4.01,-14.08,Green Energy Cleared,18.978117931578094
