@RELATION training

@ATTRIBUTE currentTimeSlot NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE hourAhead NUMERIC
@ATTRIBUTE date NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE NUMBER_OF_BROKERS NUMERIC
@ATTRIBUTE NUMBER_OF_PRODUCERS NUMERIC
@ATTRIBUTE MarketClearingPrice NUMERIC

@DATA

0,0,24,23,10,2016,5,5,18.98619584667123
0,0,23,23,10,2016,5,5,20.221059824013537
0,0,22,23,10,2016,5,5,26.847168427412875
0,0,21,23,10,2016,5,5,29.1823259898086
0,0,20,23,10,2016,5,5,29.75977678339103
0,0,19,23,10,2016,5,5,24.85087213669833
0,0,18,23,10,2016,5,5,26.743348398399295
0,0,17,23,10,2016,5,5,26.450374842990218
0,0,16,23,10,2016,5,5,35.84889048307119
0,0,15,23,10,2016,5,5,26.715594077950705
0,0,14,23,10,2016,5,5,27.41717660649456
0,0,13,23,10,2016,5,5,30.07970090158165
0,0,12,23,10,2016,5,5,30.871256753552963
0,0,11,23,10,2016,5,5,21.21777289703399
0,0,10,23,10,2016,5,5,21.56493063955032
0,0,9,23,10,2016,5,5,35.57676115219871
0,0,8,23,10,2016,5,5,28.944920788046247
0,0,7,23,10,2016,5,5,28.563729904553306
0,0,6,23,10,2016,5,5,22.575041293505127
0,0,5,23,10,2016,5,5,24.441102698952704
0,0,4,23,10,2016,5,5,18.193444272012528
0,0,3,23,10,2016,5,5,27.330415537120988
0,0,2,23,10,2016,5,5,21.13716306495745
0,0,1,23,10,2016,5,5,25.590451965594816
0,0,0,23,10,2016,5,5,27.973953628103224
1,1,24,23,10,2016,5,5,18.988179917123333
1,1,22,23,10,2016,5,5,26.957430956077644
1,1,21,23,10,2016,5,5,25.848234838787292
1,1,20,23,10,2016,5,5,23.69781584922733
1,1,17,23,10,2016,5,5,25.09428856693134
1,1,16,23,10,2016,5,5,27.205391005366703
1,1,15,23,10,2016,5,5,37.21794803580492
1,1,14,23,10,2016,5,5,26.30647909083736
1,1,13,23,10,2016,5,5,25.380014877651337
1,1,12,23,10,2016,5,5,25.135699452420283
1,1,11,23,10,2016,5,5,24.066374103372944
1,1,10,23,10,2016,5,5,26.068047123342907
1,1,8,23,10,2016,5,5,25.192751765108767
1,1,7,23,10,2016,5,5,26.159967549433144
1,1,6,23,10,2016,5,5,23.54090358308128
1,1,5,23,10,2016,5,5,28.743970544038387
1,1,4,23,10,2016,5,5,26.67686861554643
1,1,3,23,10,2016,5,5,30.8763602712475
1,1,2,23,10,2016,5,5,28.40439450546862
1,1,1,23,10,2016,5,5,29.897972096212595
2,2,24,23,10,2016,5,5,10.098797033032417
2,2,23,23,10,2016,5,5,19.198742371747603
2,2,22,23,10,2016,5,5,22.585737852016177
2,2,21,23,10,2016,5,5,15.199461993371083
2,2,20,23,10,2016,5,5,25.89018545585315
2,2,19,23,10,2016,5,5,23.5916091964595
2,2,18,23,10,2016,5,5,19.483275380615495
2,2,16,23,10,2016,5,5,21.401845107128647
2,2,15,23,10,2016,5,5,20.01865245638153
2,2,14,23,10,2016,5,5,16.567933978287485
2,2,12,23,10,2016,5,5,15.79671987017492
2,2,10,23,10,2016,5,5,21.906677364837435
2,2,9,23,10,2016,5,5,18.36094089881003
2,2,8,23,10,2016,5,5,20.82785894841756
2,2,7,23,10,2016,5,5,14.011557829393253
2,2,5,23,10,2016,5,5,15.500367880477189
2,2,4,23,10,2016,5,5,17.409704094705656
2,2,3,23,10,2016,5,5,24.40933380497022
2,2,0,23,10,2016,5,5,26.52854522834619
3,3,24,23,10,2016,5,5,12.04504638506905
3,3,23,23,10,2016,5,5,13.916584949087259
3,3,22,23,10,2016,5,5,15.873055772012272
3,3,21,23,10,2016,5,5,14.611959253270552
3,3,20,23,10,2016,5,5,14.039267091332075
3,3,19,23,10,2016,5,5,16.838913925911655
3,3,18,23,10,2016,5,5,18.00875174989925
3,3,17,23,10,2016,5,5,12.36120270317384
3,3,16,23,10,2016,5,5,24.803533893948945
3,3,15,23,10,2016,5,5,20.185067974524028
3,3,14,23,10,2016,5,5,17.170686366812394
3,3,13,23,10,2016,5,5,18.59940278318045
3,3,12,23,10,2016,5,5,14.450974505722563
3,3,11,23,10,2016,5,5,17.214873828926155
3,3,10,23,10,2016,5,5,15.599202435680619
3,3,9,23,10,2016,5,5,24.693926528052128
3,3,8,23,10,2016,5,5,10.286141444400002
3,3,7,23,10,2016,5,5,14.92577087559279
3,3,6,23,10,2016,5,5,10.701087404754206
3,3,5,23,10,2016,5,5,13.900549304260203
3,3,4,23,10,2016,5,5,6.78142718873389
3,3,3,23,10,2016,5,5,16.7452090948685
3,3,2,23,10,2016,5,5,21.619972327818875
3,3,1,23,10,2016,5,5,18.927204787857768
3,3,0,23,10,2016,5,5,8.792617496450463
4,4,24,23,10,2016,5,5,15.967367406249169
4,4,23,23,10,2016,5,5,17.362289700879536
4,4,22,23,10,2016,5,5,10.560264545378315
4,4,21,23,10,2016,5,5,18.202252905550058
4,4,20,23,10,2016,5,5,16.402078042827384
4,4,19,23,10,2016,5,5,17.127262040791113
4,4,18,23,10,2016,5,5,17.30764282168184
4,4,17,23,10,2016,5,5,4.717207200001504
4,4,16,23,10,2016,5,5,16.89705668493683
4,4,15,23,10,2016,5,5,12.196051758126766
