@RELATION training

@ATTRIBUTE currentTimeSlot NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE hourAhead NUMERIC
@ATTRIBUTE date NUMERIC
@ATTRIBUTE month NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE NUMBER_OF_BROKERS NUMERIC
@ATTRIBUTE NUMBER_OF_PRODUCERS NUMERIC
@ATTRIBUTE MarketClearingPrice NUMERIC

@DATA

0,0,24,23,10,2016,5,5,19.41528036284247
0,0,23,23,10,2016,5,5,27.834298150126525
0,0,22,23,10,2016,5,5,24.880644083282682
0,0,21,23,10,2016,5,5,24.880644083282682
0,0,20,23,10,2016,5,5,24.880644083282682
0,0,19,23,10,2016,5,5,24.880644083282682
0,0,18,23,10,2016,5,5,24.880644083282682
0,0,17,23,10,2016,5,5,24.880644083282682
0,0,16,23,10,2016,5,5,27.855119542601784
0,0,15,23,10,2016,5,5,27.855119542601784
0,0,14,23,10,2016,5,5,24.34511954260178
0,0,13,23,10,2016,5,5,27.855119542601784
0,0,12,23,10,2016,5,5,24.34511954260178
0,0,11,23,10,2016,5,5,23.215119542601784
0,0,10,23,10,2016,5,5,28.635119542601785
0,0,9,23,10,2016,5,5,28.635119542601785
0,0,8,23,10,2016,5,5,28.635119542601785
0,0,7,23,10,2016,5,5,28.635119542601785
0,0,6,23,10,2016,5,5,28.635119542601785
0,0,5,23,10,2016,5,5,28.635119542601785
0,0,4,23,10,2016,5,5,28.635119542601785
0,0,3,23,10,2016,5,5,28.635119542601785
0,0,2,23,10,2016,5,5,28.635119542601785
0,0,1,23,10,2016,5,5,28.635119542601785
0,0,0,23,10,2016,5,5,28.635119542601785
1,1,24,23,10,2016,5,5,19.390333166470896
1,1,23,23,10,2016,5,5,29.260524114386072
1,1,22,23,10,2016,5,5,28.870524114386065
1,1,21,23,10,2016,5,5,29.260524114386072
1,1,20,23,10,2016,5,5,28.870524114386065
1,1,19,23,10,2016,5,5,28.870524114386065
1,1,18,23,10,2016,5,5,29.260524114386072
1,1,17,23,10,2016,5,5,30.04052411438607
1,1,16,23,10,2016,5,5,29.260524114386072
1,1,15,23,10,2016,5,5,28.870524114386065
1,1,14,23,10,2016,5,5,28.870524114386065
1,1,13,23,10,2016,5,5,29.65052411438607
1,1,12,23,10,2016,5,5,29.65052411438607
1,1,11,23,10,2016,5,5,30.04052411438607
1,1,10,23,10,2016,5,5,29.65052411438607
1,1,9,23,10,2016,5,5,29.65052411438607
1,1,8,23,10,2016,5,5,29.65052411438607
1,1,7,23,10,2016,5,5,29.65052411438607
1,1,6,23,10,2016,5,5,29.65052411438607
1,1,5,23,10,2016,5,5,29.65052411438607
1,1,4,23,10,2016,5,5,30.04052411438607
1,1,3,23,10,2016,5,5,29.65052411438607
1,1,2,23,10,2016,5,5,30.04052411438607
1,1,1,23,10,2016,5,5,30.04052411438607
1,1,0,23,10,2016,5,5,29.65052411438607
2,2,24,23,10,2016,5,5,7.069855259794291
2,2,23,23,10,2016,5,5,17.475824530602612
2,2,22,23,10,2016,5,5,18.255824530602617
2,2,21,23,10,2016,5,5,18.255824530602617
2,2,20,23,10,2016,5,5,18.255824530602617
2,2,19,23,10,2016,5,5,17.865824530602605
2,2,18,23,10,2016,5,5,17.865824530602605
2,2,17,23,10,2016,5,5,17.865824530602605
2,2,16,23,10,2016,5,5,17.865824530602605
2,2,15,23,10,2016,5,5,17.880305523052268
2,2,14,23,10,2016,5,5,17.880305523052268
2,2,13,23,10,2016,5,5,17.880305523052268
2,2,12,23,10,2016,5,5,17.880305523052268
2,2,11,23,10,2016,5,5,18.27030552305228
2,2,7,23,10,2016,5,5,18.310229343918238
2,2,6,23,10,2016,5,5,17.92022934391823
2,2,5,23,10,2016,5,5,18.310229343918238
2,2,4,23,10,2016,5,5,17.92022934391823
2,2,3,23,10,2016,5,5,18.310229343918238
2,2,2,23,10,2016,5,5,17.92022934391823
2,2,1,23,10,2016,5,5,17.92022934391823
2,2,0,23,10,2016,5,5,17.92022934391823
3,3,24,23,10,2016,5,5,4.7590646136577135
3,3,17,23,10,2016,5,5,7.789602475793837
3,3,12,23,10,2016,5,5,14.358247017885455
3,3,11,23,10,2016,5,5,16.770441269669586
3,3,10,23,10,2016,5,5,16.380441269669575
3,3,9,23,10,2016,5,5,16.770441269669586
3,3,8,23,10,2016,5,5,16.380441269669575
3,3,7,23,10,2016,5,5,16.380441269669575
3,3,6,23,10,2016,5,5,16.380441269669575
3,3,5,23,10,2016,5,5,16.770441269669586
3,3,4,23,10,2016,5,5,16.380441269669575
3,3,3,23,10,2016,5,5,16.770441269669586
3,3,2,23,10,2016,5,5,16.380441269669575
3,3,1,23,10,2016,5,5,16.380441269669575
3,3,0,23,10,2016,5,5,16.380441269669575
4,4,24,23,10,2016,5,5,4.734064613657714
4,4,17,23,10,2016,5,5,7.764602475793837
4,4,12,23,10,2016,5,5,14.723247017885464
4,4,11,23,10,2016,5,5,16.355441269669573
4,4,10,23,10,2016,5,5,16.355441269669573
4,4,9,23,10,2016,5,5,16.355441269669573
4,4,8,23,10,2016,5,5,16.355441269669573
4,4,7,23,10,2016,5,5,16.745441269669584
4,4,6,23,10,2016,5,5,16.355441269669573
4,4,5,23,10,2016,5,5,16.745441269669584
4,4,4,23,10,2016,5,5,16.355441269669573
4,4,3,23,10,2016,5,5,16.355441269669573
4,4,2,23,10,2016,5,5,16.355441269669573
4,4,1,23,10,2016,5,5,16.355441269669573
4,4,0,23,10,2016,5,5,16.355441269669573
5,5,24,23,10,2016,5,5,8.016200182652849
5,5,22,23,10,2016,5,5,13.618561332621807
5,5,21,23,10,2016,5,5,16.918982846175414
5,5,12,23,10,2016,5,5,14.32690372758478
5,5,11,23,10,2016,5,5,15.658575901708765
5,5,10,23,10,2016,5,5,13.54258267118207
6,6,24,23,10,2016,5,5,18.945381480283537
6,6,23,23,10,2016,5,5,24.2663929643464
6,6,22,23,10,2016,5,5,25.76813372389016
6,6,21,23,10,2016,5,5,24.874636721151585
